ASLLEXcode,NewFileName,EntryID,Cantonese_Filtered,Cantonese ,cantonese_orig,Frank's Note,Grace's Note
B_01_011,B_01_011-START-15CB-2,start,開始,開始,開始,,
B_01_012,B_01_012-PUZZLED-0TCH-3,puzzled,疑惑,疑惑,疑惑,,
B_01_013,B_01_013-SURPRISE-16IQ-4,surprise,驚喜,驚喜,驚喜,,
B_01_015,B_01_015-HEARING_AID-0KL9-5,hearing_aid,助聽器,助聽器,助聽器,,
B_01_016,B_01_016-BLIND-0TNI-6,blind,盲,盲,盲,,
B_01_017,B_01_017-BORED-0O5M-7,bored,悶,悶,悶,,
B_01_018,B_01_018-RESPONSIBILITY-135C-8,responsibility,責任,責任,責任,,
B_01_019,B_01_019-BATH-0R4M-9,bath,沖涼,沖涼,沖涼,,
B_01_020,B_01_020-SOME-0JG0-10,some,一些,一些,一些,,
B_01_022,B_01_022-AWKWARD-0N1N-11,awkward,尷尬,尷尬,尷尬,,
B_01_022,B_01_022-AWKWARD-0N1N-982,awkward,尷尬,尷尬,尷尬,,
B_01_023,B_01_023-RELATIONSHIP-15ES-12,relationship,關係,關係,關係,,
B_01_024,B_01_024-FAVORITE-0PO0-13,favorite,最鍾意,最鍾意,鍾意,not in,
B_01_025,B_01_025-HUNT-0OIJ-14,hunt,打獵,打獵,打獵,,
B_01_026,B_01_026-RUDE-0V4N-15,rude,粗魯,粗魯,粗魯,,
B_01_027,B_01_027-HEADACHE-161D-16,headache,頭痛,頭痛,頭痛,,
B_01_028,B_01_028-HONEST-1001-17,honest,老實,老實,老實,,
B_01_029,B_01_029-CITY-0LUE-18,city,城市,城市,城市,,
B_01_029,B_01_029-^CITY2-0LUE-19,^city2,城市,城市_2,城市,,
B_01_030,B_01_030-TALL_2-16MO-20,tall_2,高 （身體）,高 （身體）,高挑,高佻、高大,
B_01_032,B_01_032-IMPOSSIBLE-0KC7-21,impossible,冇可能,冇可能,不可能,唔會,
B_01_033,B_01_033-WARN-12R6-22,warn,警告,警告,警告,,
